slide_id,process,status,seg_level,sthresh,mthresh,close,use_otsu,keep_ids,exclude_ids,a_t,a_h,max_n_holes,vis_level,line_thickness,use_padding,contour_fn
SR386_40X_HE_T001_01.czi,1,processed,6,135,9,4,False,none,none,10,5,24,6,200,True,four_pt
SR386_40X_HE_T003_01.czi,1,processed,6,139,9,4,False,none,none,10,5,24,6,200,True,four_pt
SR386_40X_HE_T004_01.czi,1,processed,6,135,9,4,False,none,none,10,5,24,6,200,True,four_pt
SR386_40X_HE_T006_01.czi,1,processed,5,140,15,4,False,none,none,20,1,250,6,200,True,four_pt
SR386_40X_HE_T007_01.czi,1,processed,6,135,9,4,False,none,none,10,5,24,6,200,True,four_pt
SR386_40X_HE_T010_01.czi,1,processed,6,135,9,4,False,none,none,10,5,24,6,200,True,four_pt
SR386_40X_HE_T013_01.czi,1,processed,6,135,9,4,False,none,none,10,5,24,6,200,True,four_pt
SR386_40X_HE_T014_01.czi,1,processed,6,135,9,4,False,none,none,1,5,12,6,200,True,four_pt
SR386_40X_HE_T015_01.czi,1,processed,6,135,9,4,False,none,none,10,5,24,6,200,True,four_pt
SR386_40X_HE_T016_01.czi,1,processed,6,135,9,4,False,none,none,10,5,24,6,200,True,four_pt
SR386_40X_HE_T017_01.czi,1,processed,6,132,9,4,False,none,none,10,5,24,6,200,True,four_pt
SR386_40X_HE_T018_01.czi,1,processed,6,135,9,4,False,none,none,10,5,24,6,200,True,four_pt
SR386_40X_HE_T019_01.czi,1,processed,6,135,9,4,False,none,none,10,5,24,6,200,True,four_pt
SR386_40X_HE_T020_01.czi,1,processed,6,137,9,4,False,none,none,10,5,24,6,200,True,four_pt
SR386_40X_HE_T022_01.czi,1,processed,6,135,9,4,False,none,none,10,5,24,6,200,True,four_pt
SR386_40X_HE_T024_01.czi,1,processed,6,135,9,4,False,none,none,10,5,24,6,200,True,four_pt
SR386_40X_HE_T027_01.czi,1,processed,6,130,15,4,False,none,none,500,5,0,6,200,True,four_pt
SR386_40X_HE_T028_01.czi,1,processed,6,135,9,4,False,none,none,10,5,24,6,200,True,four_pt
SR386_40X_HE_T030_01.czi,1,processed,6,135,9,4,False,none,none,10,5,24,6,200,True,four_pt
SR386_40X_HE_T032_01.czi,1,processed,6,135,9,4,False,none,none,10,5,24,6,200,True,four_pt
